job_title,predicted_match_percentage,skills_similarity,education_match,experience_closeness
software trainee,92.54536390581202,0.8642406,1,0.9666666666666667
associate system engineer,91.96537196082716,0.85264075,1,0.9666666666666667
technical intern,90.98373113104242,0.83300793,1,0.9666666666666667
software developer internship,90.88558612155055,0.83104503,1,0.9666666666666667
software engineer internship,90.67178723791343,0.82676905,1,0.9666666666666667
junior software developer,90.5156528686896,0.82364637,1,0.9666666666666667
software development intern,90.48495051572637,0.8230323,1,0.9666666666666667
software developer intern,90.41369018164522,0.8216071,1,0.9666666666666667
programmer analyst trainee,90.39260801848643,0.82118547,1,0.9666666666666667
associate software engineer,90.13483878776918,0.8160301,1,0.9666666666666667
software,89.99162121466813,0.86649907,1,0.8333333333333334
software developer,88.30893438485936,0.83284533,1,0.8333333333333334
software programmer,88.0508581902171,0.8276838,1,0.8333333333333334
web application developer,86.67028346724089,0.8000723,1,0.8333333333333334
applications developer,86.10411681980955,0.788749,1,0.8333333333333334
software analyst,86.03179254280394,0.7873025,1,0.8333333333333334
frontend developer,85.70581473586171,0.78078294,1,0.8333333333333334
front end developer,85.68120397768172,0.7802907,1,0.8333333333333334
sr software developer,85.3510870975157,0.8270217,1,0.7
senior software engineer,85.31376266842314,0.8262752,1,0.7
lead software developer,85.31201029184166,0.8262402,1,0.7
senior software developer,84.94620466069048,0.81892407,1,0.7
software specialist,84.42745052862433,0.808549,1,0.7
android developer,84.0272257254399,0.74721116,1,0.8333333333333334
staff software engineer,82.73977777020872,0.77479553,1,0.7
software consultant,82.51424571207963,0.7702849,1,0.7
software architect,82.50596066633727,0.7701192,1,0.7
software development manager,81.26996893226209,0.74539936,1,0.7
firmware engineer,81.16691846043499,0.74333835,1,0.7
senior php developer,80.00632958331211,0.72012657,1,0.7
senior software architect,79.40033558108692,0.76134,1,0.5666666666666667
principal software engineer,77.46736460864321,0.74934727,1,0.5
