job_position_name,count
site engineer,342
project coordinator (civil),342
civil engineer,342
hr officer,342
marketing officer,341
manager- human resource management (hrm),341
head of internal control & compliance (icc) - sevp/dmd,341
management trainee - mechanical,341
sr.officer / executive - internal audit,341
executive - vat,341
network support engineer,341
senior software engineer,341
"system administrator (operation & maintenance of server, storage & service desk system)",341
database administrator (dba),341
asst. manager/ manger (administrative),341
mechanical designer,341
mechanical engineer,341
ai engineer,341
business development executive,341
"executive/ senior executive- trade marketing, hygiene products",341
executive/ sr. executive -it,340
machine learning (ml) engineer,340
devops engineer,340
data engineer,340
"full stack developer (python,react js)",340
senior ios engineer,340
data science engineer,340
intern (generative ai engineering - 2d/3d image generation),340
